----------------------------969969099448951372522494
Content-Disposition: form-data; name="file"; filename="RawData.csv"
Content-Type: text/csv

"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.752113140E0,7.824069858E-1,-2.464236975E0,2.923310041E0,3.902610172E0
4.757126063E0,8.492400050E-1,-2.425575972E0,2.205403090E0,3.386507075E0
4.762138779E0,8.630160093E-1,-2.377073050E0,1.529204011E0,2.955289803E0
4.767151702E0,7.965949774E-1,-2.372323990E0,9.353700280E-1,2.671591616E0
4.772164548E0,6.093040109E-1,-2.410104036E0,4.235990047E-1,2.521763066E0
4.777177538E0,4.102919996E-1,-2.421472073E0,-8.804900199E-2,2.457563661E0
4.782190385E0,2.535209954E-1,-2.309387922E0,-5.863360167E-1,2.396108386E0
4.787203338E0,9.777399898E-2,-2.169056892E0,-9.895560145E-1,2.386124193E0
4.792216030E0,-9.807699919E-2,-2.067868948E0,-1.338742018E0,2.465346076E0
4.797228943E0,-2.931889892E-1,-2.005465031E0,-1.633993983E0,2.603418159E0
4.802241789E0,-5.150889754E-1,-1.980741978E0,-1.861981034E0,2.766880700E0
4.807254698E0,-7.091339827E-1,-1.939478040E0,-1.995416999E0,2.871608447E0
4.812267391E0,-8.481569886E-1,-1.949409008E0,-2.034408092E0,2.942512879E0
4.817280304E0,-9.457100034E-1,-1.942415953E0,-2.033453941E0,2.966864014E0
4.822293227E0,-1.070405960E0,-1.931784987E0,-1.924512029E0,2.929387087E0
4.827306073E0,-1.222131968E0,-1.917868018E0,-1.707497954E0,2.843830787E0
4.832319001E0,-1.387750030E0,-1.914397955E0,-1.450448036E0,2.773908647E0
4.837331924E0,-1.526499987E0,-1.935567021E0,-1.139577031E0,2.715742571E0
4.842344616E0,-1.680019975E0,-1.954735041E0,-8.155310154E-1,2.703432454E0
4.847357540E0,-1.793831944E0,-1.972267985E0,-4.918279946E-1,2.711008821E0
4.852370458E0,-1.841110945E0,-1.975119948E0,-2.227679938E-1,2.709319822E0
4.857383304E0,-1.808009982E0,-2.018008947E0,7.341799885E-2,2.710470514E0
4.862396208E0,-1.680909991E0,-2.033432007E0,3.015480042E-1,2.655416224E0
4.867408900E0,-1.595512986E0,-2.062182903E0,5.296729803E-1,2.660603969E0
4.872421852E0,-1.524330974E0,-2.145378113E0,6.625030041E-1,2.713879584E0
4.877434698E0,-1.453541994E0,-2.255913019E0,8.362609744E-1,2.810918052E0
4.882447636E0,-1.355442047E0,-2.326117039E0,9.693089724E-1,2.861398872E0
4.887460559E0,-1.256582022E0,-2.301166058E0,1.075132012E0,2.833773535E0
4.892473251E0,-1.197363973E0,-2.262564898E0,1.112786055E0,2.791267311E0
4.897486164E0,-1.150465012E0,-2.291874886E0,1.136708975E0,2.805061056E0
4.902499010E0,-1.156949997E0,-2.321083069E0,1.187801003E0,2.852513126E0
4.907511703E0,-1.162055969E0,-2.336050034E0,1.252295017E0,2.894088223E0
4.912524856E0,-1.084334970E0,-2.268589973E0,1.330193996E0,2.844591159E0
4.917537525E0,-9.922519922E-1,-2.200612068E0,1.421569943E0,2.801449374E0
4.922550448E0,-9.000419974E-1,-2.146467924E0,1.513023973E0,2.776083876E0
4.927563371E0,-8.350409865E-1,-2.147113085E0,1.604583979E0,2.807503837E0
4.932576232E0,-7.567809820E-1,-2.135072947E0,1.641942024E0,2.797718276E0
4.937589155E0,-6.380980015E-1,-2.042371035E0,1.625126958E0,2.686910146E0
4.942601842E0,-5.067890286E-1,-1.937754989E0,1.622419953E0,2.577591128E0
4.947614766E0,-3.899939954E-1,-1.807441950E0,1.524806023E0,2.396659159E0
4.952627626E0,-2.742440104E-1,-1.705878019E0,1.386759996E0,2.215475769E0
4.957640549E0,-1.870590001E-1,-1.646708012E0,1.235535979E0,2.067168958E0
4.962653458E0,-1.288280040E-1,-1.616350055E0,1.071159005E0,1.943338820E0
4.967666150E0,-5.851300061E-2,-1.587373972E0,8.663290143E-1,1.809338514E0
4.972679312E0,1.036600024E-2,-1.546105981E0,6.755080223E-1,1.687264723E0
4.977691927E0,1.189519987E-1,-1.465018988E0,4.713740051E-1,1.543574962E0
4.982704875E0,2.268590033E-1,-1.384685040E0,2.810730040E-1,1.431020510E0
4.987717798E0,3.480390012E-1,-1.277510047E0,7.726500183E-2,1.326323093E0
4.992730500E0,4.281280041E-1,-1.184092999E0,-8.563499898E-2,1.262023443E0
4.997743423E0,4.535929859E-1,-1.131623983E0,-2.485069931E-1,1.244216686E0
5.002756351E0,4.516530037E-1,-1.092700958E0,-3.705289960E-1,1.239063177E0
5.007769197E0,4.221450090E-1,-1.053555965E0,-5.062050223E-1,1.242751023E0
5.012782105E0,4.194340110E-1,-9.868199825E-1,-6.147019863E-1,1.235959991E0
5.017794798E0,4.296459854E-1,-8.922669888E-1,-7.233039737E-1,1.226337918E0
5.022807635E0,4.393270016E-1,-8.241829872E-1,-7.911999822E-1,1.224043799E0
5.027820558E0,4.211730063E-1,-7.689219713E-1,-8.047749996E-1,1.190080039E0
5.032833476E0,3.889499903E-1,-7.672820091E-1,-7.912920117E-1,1.168822837E0
5.037846399E0,3.702200055E-1,-7.513179779E-1,-7.507269979E-1,1.124781126E0
5.042859312E0,3.789199889E-1,-7.075669765E-1,-6.830589771E-1,1.053945421E0
5.047872235E0,3.061400056E-1,-7.178159952E-1,-6.018980145E-1,9.855266237E-1
5.052884924E0,2.337960005E-1,-7.277439833E-1,-4.935910106E-1,9.098922797E-1
5.057897770E0,1.211960018E-1,-7.644799948E-1,-3.854170144E-1,8.646758978E-1
5.062910684E0,9.324000217E-3,-7.873950005E-1,-2.909489870E-1,8.394814690E-1
5.067923376E0,-1.019459963E-1,-8.098369837E-1,-1.966219991E-1,8.395767605E-1
5.072936275E0,-1.854940057E-1,-8.181560040E-1,-1.160600036E-1,8.469103833E-1
5.077949198E0,-2.959829867E-1,-8.261529803E-1,5.272999872E-3,8.775890153E-1
5.082962074E0,-4.061239958E-1,-8.477200270E-1,1.265799999E-1,9.484663623E-1
5.087974997E0,-5.022130013E-1,-8.557209969E-1,2.342589945E-1,1.019486930E0
5.092987674E0,-5.433260202E-1,-8.367819786E-1,3.147439957E-1,1.046169693E0
5.098000520E0,-5.975880027E-1,-8.182119727E-1,4.089129865E-1,1.092607928E0
5.103013530E0,-5.831239820E-1,-8.410949707E-1,4.623270035E-1,1.123040777E0
5.108026376E0,-6.497550011E-1,-8.100079894E-1,4.613470137E-1,1.136281467E0
5.113039371E0,-7.432219982E-1,-8.338119984E-1,4.740610123E-1,1.213406457E0
5.118052217E0,-7.955650091E-1,-8.715530038E-1,4.868380129E-1,1.276534204E0
5.123065135E0,-8.204079866E-1,-8.414250016E-1,4.860349894E-1,1.271729259E0
5.128077827E0,-8.178369999E-1,-7.976239920E-1,4.715920091E-1,1.235904695E0
5.133090659E0,-8.424270153E-1,-7.945849895E-1,4.843640029E-1,1.255251795E0
5.138103582E0,-8.532980084E-1,-8.186439872E-1,5.243390203E-1,1.293532712E0
5.143116264E0,-8.232849836E-1,-8.563010097E-1,5.643110275E-1,1.315103235E0
5.148129188E0,-7.660369873E-1,-8.803250194E-1,5.770409703E-1,1.301829899E0
5.153142106E0,-7.090330124E-1,-9.183160067E-1,5.898669958E-1,1.301528015E0
5.158154952E0,-6.387550235E-1,-9.297360182E-1,5.892450213E-1,1.272645567E0
5.163167861E0,-6.096959710E-1,-9.829879999E-1,5.616260171E-1,1.285853167E0
5.168180553E0,-5.535389781E-1,-9.962819815E-1,5.069820285E-1,1.247402888E0
5.173193471E0,-4.837200046E-1,-9.694020152E-1,3.980120122E-1,1.154183205E0
5.178206394E0,-3.731690049E-1,-9.021499753E-1,2.619220018E-1,1.010808003E0
5.183219270E0,-2.765280008E-1,-8.758980036E-1,1.803590059E-1,9.360525727E-1
5.188232270E0,-2.073560059E-1,-8.769050241E-1,1.124349982E-1,9.080751969E-1
5.193245121E0,-1.521019936E-1,-8.778219819E-1,3.088399954E-2,8.914371934E-1
5.198257813E0,-7.013200223E-2,-8.923109770E-1,-3.703000024E-2,8.958284424E-1
5.203270726E0,-1.620299928E-2,-9.070069790E-1,-6.399500370E-2,9.094061566E-1
5.208283572E0,9.693999775E-3,-9.084740281E-1,-2.272499911E-2,9.088099136E-1
5.213296486E0,7.609400153E-2,-8.968080282E-1,1.867499948E-2,9.002242455E-1
5.218309179E0,1.832289994E-1,-8.448500037E-1,-2.150700055E-2,8.647583166E-1
5.223322111E0,2.630009949E-1,-8.072180152E-1,-8.875899762E-2,8.536091653E-1
5.228335034E0,3.015420139E-1,-7.839919925E-1,-1.421879977E-1,8.519321904E-1
5.233347875E0,2.851350009E-1,-7.615399957E-1,-2.362709939E-1,8.467993365E-1
5.238360875E0,2.816300094E-1,-6.990879774E-1,-3.573519886E-1,8.341102482E-1
5.243373726E0,2.366960049E-1,-6.647390127E-1,-4.373350143E-1,8.301595440E-1
5.248386649E0,1.915549934E-1,-6.178159714E-1,-5.306739807E-1,8.366628734E-1
5.253399356E0,1.466269940E-1,-5.443890095E-1,-6.647049785E-1,8.716028783E-1
5.258412202E0,1.157509983E-1,-4.441429973E-1,-8.258910179E-1,9.448583328E-1
5.263425198E0,8.541700244E-2,-3.845779896E-1,-9.871399999E-1,1.062846025E0
5.268438044E0,-1.278099976E-2,-3.927440047E-1,-1.134860039E0,1.200965659E0
5.273450957E0,-1.379300058E-1,-3.862679899E-1,-1.241973042E0,1.307946744E0
5.278463649E0,-2.355329990E-1,-3.648230135E-1,-1.281317949E0,1.352903290E0
5.283476502E0,-3.327899873E-1,-3.414640129E-1,-1.321138024E0,1.404547090E0
5.288489425E0,-4.434430003E-1,-3.161210120E-1,-1.320585966E0,1.428468229E0
5.293502117E0,-5.403900146E-1,-3.020580113E-1,-1.225260019E0,1.372779125E0
5.298515275E0,-6.371120214E-1,-2.855759859E-1,-1.076045990E0,1.282708207E0
5.303527967E0,-7.744669914E-1,-2.940090001E-1,-8.729199767E-1,1.203424156E0
5.308540890E0,-8.707839847E-1,-3.005340099E-1,-6.566370130E-1,1.131263721E0
5.313553813E0,-9.942229986E-1,-3.192330003E-1,-3.998380005E-1,1.118150037E0
5.318566660E0,-1.104055047E0,-3.641510010E-1,-1.568930000E-1,1.173097998E0
5.323579583E0,-1.213749051E0,-3.815160096E-1,4.511899874E-2,1.273097384E0
5.328592285E0,-1.323305964E0,-3.986139894E-1,2.606909871E-1,1.406410886E0
5.333605131E0,-1.350581050E0,-3.747200072E-1,4.762139916E-1,1.480291871E0
5.338618073E0,-1.390490055E0,-3.506669998E-1,6.780329943E-1,1.586240423E0
5.343630996E0,-1.442911029E0,-3.404330015E-1,8.117470145E-1,1.690213028E0
5.348643890E0,-1.507833958E0,-3.027920127E-1,9.317499995E-1,1.798166930E0
5.353656583E0,-1.530958056E0,-2.924300134E-1,1.010861039E0,1.857737313E0
5.358669458E0,-1.539638042E0,-2.819280028E-1,1.076287031E0,1.899569023E0
5.363682381E0,-1.493528008E0,-2.580949962E-1,1.141777992E0,1.897602678E0
5.368695304E0,-1.406520009E0,-2.344699949E-1,1.207326055E0,1.868397955E0
5.373708227E0,-1.292580962E0,-2.114260048E-1,1.259418011E0,1.817030607E0
5.378720919E0,-1.151785970E0,-1.892729998E-1,1.284499049E0,1.735618909E0
5.383733843E0,-9.844769835E-1,-1.821289957E-1,1.296319008E0,1.637928226E0
5.388746766E0,-8.178690076E-1,-1.492709965E-1,1.254040956E0,1.504596379E0
5.393759612E0,-6.522399783E-1,-1.318520010E-1,1.198601007E0,1.370928997E0
5.398772535E0,-5.286129713E-1,-1.161919981E-1,1.102751017E0,1.228410379E0
5.403785245E0,-3.924680054E-1,-8.873099834E-2,9.665020108E-1,1.046914735E0
5.408798168E0,-2.846420109E-1,-7.623399794E-2,8.169879913E-1,8.685056562E-1
5.413811000E0,-1.778320074E-1,-2.375099994E-2,6.677200198E-1,6.914031803E-1
5.418823924E0,-8.560000360E-2,1.472899970E-2,5.322089791E-1,5.392501289E-1
5.423836847E0,-7.608999964E-3,2.615600079E-2,4.511739910E-1,4.519955789E-1
5.428849535E0,6.993599981E-2,6.528700143E-2,3.836809993E-1,3.954295713E-1
5.433862458E0,1.333339959E-1,7.797200233E-2,3.432829976E-1,3.764316725E-1
5.438875304E0,1.824560016E-1,7.784999907E-2,2.891219854E-1,3.506313411E-1
5.443888227E0,1.900970042E-1,6.494999677E-2,2.892929912E-1,3.522013739E-1
5.448901163E0,2.244299948E-1,8.015900105E-2,3.574059904E-1,4.295734279E-1
5.453913856E0,2.725049853E-1,1.368740052E-1,4.934760034E-1,5.800965663E-1
5.458926779E0,3.210360110E-1,1.666720062E-1,6.158319712E-1,7.142077392E-1
5.463939702E0,3.431009948E-1,1.690849960E-1,7.654209733E-1,8.556735913E-1
5.468952548E0,3.251889944E-1,1.981000006E-1,8.878610134E-1,9.660686681E-1
5.473965486E0,3.219850063E-1,2.261310071E-1,9.559760094E-1,1.033779332E0
5.478978178E0,2.787680030E-1,2.666380107E-1,9.425730109E-1,1.018455355E0
5.483991082E0,1.952330023E-1,2.923400104E-1,8.885390162E-1,9.555522959E-1
5.489003928E0,1.255819947E-1,3.442049921E-1,8.074910045E-1,8.867297425E-1
5.494016856E0,5.608300120E-2,3.814589977E-1,6.994119883E-1,7.986447266E-1
5.499029779E0,-4.073899984E-2,4.043009877E-1,6.051369905E-1,7.289099616E-1
5.504042707E0,-1.374749988E-1,4.267039895E-1,5.381990075E-1,7.004525977E-1
5.509055399E0,-2.341160029E-1,4.624040127E-1,4.713290036E-1,7.005560673E-1
5.514068308E0,-3.169110119E-1,4.844779968E-1,4.316909909E-1,7.221555446E-1
5.519081155E0,-3.858239949E-1,5.067110062E-1,4.192439914E-1,7.624839166E-1
5.524094092E0,-4.543479979E-1,5.158399940E-1,4.475220144E-1,8.202432297E-1
5.529106784E0,-5.361210108E-1,5.389869809E-1,4.756909907E-1,8.967801416E-1
5.534119679E0,-5.901280046E-1,5.488539934E-1,5.582330227E-1,9.803651745E-1
5.539132602E0,-6.844130158E-1,5.316450000E-1,6.407039762E-1,1.077761183E0
5.544145458E0,-7.508580089E-1,5.280939937E-1,7.231330276E-1,1.168585637E0
5.549158381E0,-7.760419846E-1,5.241860151E-1,7.919999957E-1,1.226489353E0
5.554171074E0,-8.146589994E-1,5.060610175E-1,8.609939814E-1,1.288828024E0
5.559183997E0,-8.397489786E-1,5.006179810E-1,9.029690027E-1,1.330845494E0
5.564196920E0,-8.650280237E-1,4.806250036E-1,9.724149704E-1,1.387394951E0
5.569209843E0,-8.904229999E-1,4.730600119E-1,1.001284957E0,1.420989253E0
5.574222766E0,-8.886039853E-1,5.052260160E-1,1.016803980E0,1.441790797E0
5.579235612E0,-8.732900023E-1,5.226969719E-1,1.018967986E0,1.440188637E0
5.584248309E0,-8.445789814E-1,5.530229807E-1,9.940940142E-1,1.416817201E0
5.589261232E0,-8.296999931E-1,5.415809751E-1,9.966980219E-1,1.405389262E0
5.594274069E0,-8.152530193E-1,5.565519929E-1,9.722959995E-1,1.385549392E0
5.599286992E0,-8.149160147E-1,5.705350041E-1,9.073150158E-1,1.346409611E0
5.604299669E0,-8.423830271E-1,6.248019934E-1,8.289030194E-1,1.336812220E0
5.609312592E0,-8.567950130E-1,7.054529786E-1,7.235109806E-1,1.324850836E0
5.614325496E0,-8.988929987E-1,7.582529783E-1,5.774549842E-1,1.310118491E0
5.619338343E0,-9.139559865E-1,7.833129764E-1,4.315589964E-1,1.278725120E0
5.624351343E0,-9.425209761E-1,7.679510117E-1,2.855769992E-1,1.248858987E0
5.629363958E0,-9.024860263E-1,7.531279922E-1,1.258389950E-1,1.182166762E0
5.634377102E0,-7.939180136E-1,6.987310052E-1,-2.060000040E-2,1.057806783E0
5.639389794E0,-6.986110210E-1,6.187239885E-1,-9.934700280E-2,9.384809852E-1
5.644402736E0,-6.028980017E-1,5.138649940E-1,-6.974100322E-2,7.952402405E-1
5.649415659E0,-5.475249887E-1,3.976170123E-1,1.376200002E-2,6.768103828E-1
5.654428501E0,-5.188140273E-1,2.565349936E-1,1.511099935E-1,5.981742455E-1
5.659441194E0,-4.760330021E-1,6.334999949E-2,3.014540076E-1,5.670054323E-1
5.664454117E0,-4.196299911E-1,-1.819269955E-1,4.784330130E-1,6.618798297E-1
5.669467025E0,-3.771539927E-1,-4.658710063E-1,7.365980148E-1,9.496618156E-1
5.674479871E0,-3.623859882E-1,-7.615240216E-1,1.048789978E0,1.345809369E0
5.679492578E0,-3.071259856E-1,-1.055577040E0,1.374222994E0,1.759846043E0
5.684505502E0,-2.792949975E-1,-1.280529976E0,1.740280986E0,2.178609792E0
5.689518425E0,-2.103610039E-1,-1.491353989E0,2.106201887E0,2.589300072E0
5.694531271E0,-1.138880029E-1,-1.688794017E0,2.376828909E0,2.917929295E0
5.699544290E0,-7.174000144E-2,-1.846315026E0,2.647686005E0,3.228663343E0
5.704556905E0,-8.392100036E-2,-1.992166042E0,2.864542007E0,3.490181827E0
5.709570059E0,-1.229370013E-1,-2.072443962E0,2.945797920E0,3.603867765E0
5.714582727E0,-1.342280060E-1,-2.101311922E0,2.905208111E0,3.588002664E0
5.719595650E0,-1.859879941E-1,-2.106276989E0,2.742842913E0,3.463261690E0
5.724608574E0,-2.103099972E-1,-2.087549925E0,2.540494919E0,3.294876237E0
5.729621420E0,-2.208230048E-1,-2.072444916E0,2.257333994E0,3.072352110E0
5.734634102E0,-2.178470045E-1,-2.047107935E0,1.852468967E0,2.769431258E0
5.739647025E0,-1.744839996E-1,-2.011261940E0,1.407590985E0,2.461083428E0
5.744659953E0,-7.739199698E-2,-1.950255990E0,9.224680066E-1,2.158804107E0
5.749672799E0,5.266000051E-3,-1.863687992E0,4.787369967E-1,1.924201074E0
5.754685703E0,1.009920016E-1,-1.778020978E0,4.894800112E-2,1.781559398E0
5.759698627E0,1.963939965E-1,-1.665488958E0,-3.397989869E-1,1.711107075E0
5.764711319E0,2.507900000E-1,-1.606428981E0,-7.151250243E-1,1.776207616E0
5.769724242E0,2.913309932E-1,-1.546337008E0,-1.063418984E0,1.899181884E0
5.774737179E0,3.311949968E-1,-1.525277019E0,-1.384878993E0,2.086636033E0
5.779750025E0,3.973099887E-1,-1.502105951E0,-1.570616007E0,2.209301283E0
5.784762972E0,4.760330021E-1,-1.476155996E0,-1.675305009E0,2.283044200E0
5.789775665E0,5.401710272E-1,-1.475332975E0,-1.712398052E0,2.323940450E0
5.794788577E0,5.763980150E-1,-1.472579002E0,-1.681871057E0,2.308552326E0
5.799801500E0,5.440199971E-1,-1.468276024E0,-1.665349960E0,2.285865860E0
5.804814351E0,5.795570016E-1,-1.475836992E0,-1.526716948E0,2.201101039E0
5.809827274E0,6.429389715E-1,-1.536708951E0,-1.442921042E0,2.203829861E0
5.814839976E0,7.210969925E-1,-1.596308947E0,-1.359544992E0,2.217328508E0
5.819852899E0,8.007119894E-1,-1.695497990E0,-1.303853035E0,2.283831399E0
5.824865746E0,8.272619843E-1,-1.793110967E0,-1.221446991E0,2.321969440E0
5.829878746E0,8.276119828E-1,-1.916553974E0,-1.098641992E0,2.359053826E0
5.834891606E0,8.013880253E-1,-2.024914980E0,-9.899100065E-1,2.392159122E0
5.839904529E0,7.754459977E-1,-2.118309975E0,-8.543339968E-1,2.412144320E0
5.844917226E0,7.359330058E-1,-2.183053970E0,-7.055379748E-1,2.409378729E0
5.849930149E0,6.554219723E-1,-2.219072104E0,-5.435320139E-1,2.376822672E0
5.854942995E0,5.744699836E-1,-2.240056992E0,-3.410330117E-1,2.337557401E0
5.859955919E0,5.204280019E-1,-2.287209034E0,-1.115679964E-1,2.348322356E0
5.864968596E0,5.204510093E-1,-2.402015924E0,7.693900168E-2,2.458956967E0
5.869981519E0,5.065259933E-1,-2.475711107E0,2.381629944E-1,2.538195359E0
5.874994399E0,5.057389736E-1,-2.549470901E0,3.722000122E-1,2.625663085E0
5.880007322E0,5.317019820E-1,-2.582660913E0,5.199739933E-1,2.687604388E0
5.885020259E0,5.436019897E-1,-2.603106022E0,6.271619797E-1,2.732214529E0
5.890033182E0,5.278030038E-1,-2.651580095E0,6.937389970E-1,2.791187347E0
5.895046115E0,5.251849890E-1,-2.632766962E0,6.788470149E-1,2.769136042E0
5.900058731E0,5.356969833E-1,-2.601114988E0,6.642029881E-1,2.737505443E0
5.905071707E0,5.455899835E-1,-2.570355892E0,6.089829803E-1,2.697268639E0
5.910084553E0,5.274789929E-1,-2.512840986E0,5.267040133E-1,2.621072496E0
5.915097476E0,4.814029932E-1,-2.441981077E0,4.173080027E-1,2.523720744E0
5.920110418E0,4.344980121E-1,-2.357281923E0,3.079060018E-1,2.416686304E0
5.925123111E0,3.187969923E-1,-2.313076019E0,2.393140048E-1,2.347173489E0
5.930135957E0,2.297260016E-1,-2.254509926E0,1.978060007E-1,2.274800267E0
5.935148880E0,1.539839953E-1,-2.195055962E0,1.833260059E-1,2.208073860E0
5.940161582E0,9.164900333E-2,-2.148494959E0,1.822900027E-1,2.158161202E0
5.945174505E0,2.316999948E-3,-2.101425886E0,2.219720036E-1,2.113118003E0
5.950187346E0,-7.281500101E-2,-2.026654959E0,2.887429893E-1,2.048415207E0
5.955200269E0,-1.606609970E-1,-1.992665052E0,3.282009959E-1,2.025892855E0
5.960213193E0,-2.746210098E-1,-1.972226024E0,3.539510071E-1,2.022467182E0
5.965226116E0,-3.735939860E-1,-1.965762973E0,3.660910130E-1,2.034163013E0
5.970239039E0,-4.715090096E-1,-1.932253003E0,3.509750068E-1,2.019679645E0
5.975251721E0,-5.548710227E-1,-1.912703991E0,3.358910084E-1,2.019688386E0
5.980264644E0,-6.510980129E-1,-1.893401980E0,3.072040081E-1,2.025653965E0
5.985277490E0,-7.331820130E-1,-1.874459982E0,2.921999991E-1,2.033847813E0
5.990290413E0,-8.148390055E-1,-1.814800978E0,2.772069871E-1,2.008558913E0
5.995303347E0,-8.963569999E-1,-1.768888950E0,2.077610046E-1,1.993887817E0
6.000316039E0,-9.370970130E-1,-1.709383965E0,1.519510001E-1,1.955309044E0
6.005328866E0,-9.372670054E-1,-1.663668990E0,1.234470010E-1,1.913505451E0
6.010341789E0,-9.515020251E-1,-1.604320049E0,9.497500211E-2,1.867677482E0
6.015354485E0,-9.252219796E-1,-1.558786035E0,8.020000160E-2,1.814464564E0
6.020367408E0,-8.992779851E-1,-1.499848962E0,3.826599941E-2,1.749203273E0
6.025380332E0,-8.870880008E-1,-1.454889059E0,2.367799915E-2,1.704167815E0
6.030393255E0,-8.476290107E-1,-1.382823944E0,-5.897599831E-2,1.623008062E0
6.035406188E0,-8.217129707E-1,-1.324228048E0,-1.552930027E-1,1.566176250E0
6.040419034E0,-7.549570203E-1,-1.278802991E0,-2.381040007E-1,1.503991591E0
6.045431943E0,-7.292360067E-1,-1.246505976E0,-2.665449977E-1,1.468539593E0
6.050444635E0,-6.902469993E-1,-1.227121949E0,-2.951410115E-1,1.438533077E0
6.055457543E0,-6.654180288E-1,-1.206807971E0,-2.966920137E-1,1.409678255E0
6.060470390E0,-6.139900088E-1,-1.185652971E0,-2.439270020E-1,1.357297713E0
6.065483313E0,-5.495619774E-1,-1.177396059E0,-1.640540063E-1,1.309653986E0
6.070496236E0,-4.584279954E-1,-1.168401957E0,-4.346000031E-2,1.255869472E0
6.075508942E0,-3.542619944E-1,-1.158964038E0,7.707499713E-2,1.214347461E0
6.080521865E0,-2.642329931E-1,-1.176525950E0,1.839769930E-1,1.219786834E0
6.085534779E0,-1.335249990E-1,-1.180621028E0,2.773259878E-1,1.220083866E0
6.090547625E0,-3.084999975E-3,-1.130285978E0,3.570989966E-1,1.185358850E0
6.095560544E0,1.407469958E-1,-1.121099949E0,4.233539999E-1,1.206608230E0
6.100573467E0,2.297129929E-1,-1.125895977E0,4.625000060E-1,1.238675125E0
6.105586144E0,2.777560055E-1,-1.131425977E0,4.746029973E-1,1.257982967E0
6.110599067E0,3.392010033E-1,-1.123731971E0,4.595910013E-1,1.260577150E0
6.115611971E0,4.004119933E-1,-1.102885008E0,4.174830019E-1,1.245382336E0
6.120624817E0,4.202539921E-1,-1.082445025E0,3.755249977E-1,1.220376858E0
6.125637535E0,4.534319937E-1,-1.062577009E0,3.882189989E-1,1.218763498E0
6.130650458E0,4.592210054E-1,-1.043125033E0,3.874169886E-1,1.203779752E0
6.135663309E0,4.651829898E-1,-1.010439038E0,4.139460027E-1,1.186900820E0
6.140676232E0,4.712840021E-1,-9.917510152E-1,4.133229852E-1,1.173249580E0
6.145689145E0,4.234400094E-1,-9.599940181E-1,4.127979875E-1,1.127515913E0
6.150701837E0,3.623920083E-1,-9.421650171E-1,3.714599907E-1,1.075632564E0
6.155714982E0,2.884759903E-1,-9.382020235E-1,3.709850013E-1,1.049319449E0
6.160727675E0,2.290019989E-1,-9.069700241E-1,3.431999981E-1,9.964049272E-1
6.165740521E0,1.704940051E-1,-8.758080006E-1,3.153550029E-1,9.463385427E-1
6.170753463E0,8.542799950E-2,-8.717589974E-1,3.282859921E-1,9.354321917E-1
6.175766386E0,9.699999937E-4,-8.947939873E-1,3.275119960E-1,9.528490584E-1
6.180779068E0,-9.648600221E-2,-9.176290035E-1,3.538799882E-1,9.882224359E-1
6.185791991E0,-1.388850063E-1,-9.269040227E-1,4.074569941E-1,1.021988901E0
6.190804924E0,-2.081570029E-1,-9.362229705E-1,4.337750077E-1,1.052617474E0
6.195817771E0,-2.498520017E-1,-9.593560100E-1,4.737330079E-1,1.098732424E0
6.200830448E0,-2.910250127E-1,-9.417380095E-1,4.728130102E-1,1.093214608E0
6.205843371E0,-3.862180114E-1,-8.967819810E-1,4.445919991E-1,1.072867335E0
6.210856217E0,-4.130600095E-1,-9.059739709E-1,4.026530087E-1,1.074028330E0
6.215869140E0,-4.356420040E-1,-8.655830026E-1,3.707039952E-1,1.037515948E0
6.220882063E0,-4.592109919E-1,-8.678650260E-1,3.405860066E-1,1.039260923E0
6.225894982E0,-4.447790086E-1,-9.027330279E-1,3.527849913E-1,1.066401677E0
6.230907905E0,-4.442540109E-1,-9.108300209E-1,3.651160002E-1,1.077164169E0
6.235920583E0,-4.140000045E-1,-8.442239761E-1,3.343259990E-1,9.979398776E-1
6.240933506E0,-4.240100086E-1,-8.464450240E-1,2.907080054E-1,9.903357059E-1
6.245946338E0,-4.229800105E-1,-8.405870199E-1,3.166010082E-1,9.928417929E-1
6.250959261E0,-4.083459973E-1,-8.082119823E-1,2.881740034E-1,9.502617103E-1
6.255971958E0,-3.800820112E-1,-7.366330028E-1,2.601099908E-1,8.687621788E-1
6.260984882E0,-3.489159942E-1,-7.399049997E-1,2.168000042E-1,8.462883796E-1
6.265997824E0,-2.936969995E-1,-7.358329892E-1,2.159000039E-1,8.211704618E-1
6.271010670E0,-2.658329904E-1,-7.188199759E-1,1.742890030E-1,7.859681883E-1
6.276023593E0,-2.093259990E-1,-6.301630139E-1,1.361330003E-1,6.778310938E-1
6.281036285E0,-1.384380013E-1,-5.683379769E-1,7.997100055E-2,5.903968980E-1
6.286049208E0,-1.232089996E-1,-5.117340088E-1,-2.953300066E-2,5.271853104E-1
6.291062131E0,-1.078450009E-1,-4.961139858E-1,-1.935030073E-1,5.433259104E-1
6.296074978E0,-1.250690073E-1,-4.368320107E-1,-3.231689930E-1,5.575864599E-1
6.301087953E0,-1.095929965E-1,-4.066529870E-1,-4.328399897E-1,6.039269272E-1
6.306100799E0,-8.066800237E-2,-3.897970021E-1,-5.153160095E-1,6.511525314E-1
6.311113722E0,-1.114199962E-2,-3.587160110E-1,-5.706509948E-1,6.741245275E-1
6.316126428E0,5.821700022E-2,-3.404850066E-1,-5.580210090E-1,6.562824889E-1
