----------------------------969969099448951372522494
Content-Disposition: form-data; name="file"; filename="RawData.csv"
Content-Type: text/csv

"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.909257740E-1,6.544250250E-1,-4.490729868E-1,1.777040005E0,1.946229647E0
3.959386970E-1,8.278700113E-1,-5.453720093E-1,2.221421957E0,2.432594273E0
4.009513660E-1,9.449769855E-1,-6.309720278E-1,2.530358076E0,2.773773458E0
4.059642120E-1,1.032788992E0,-6.518520117E-1,2.703933001E0,2.966954300E0
4.109771210E-1,1.064329982E0,-6.634600163E-1,2.742300034E0,3.015491167E0
4.159898140E-1,1.148885965E0,-6.931639910E-1,2.631829023E0,2.954139348E0
4.210027370E-1,1.218888044E0,-7.141140103E-1,2.372549057E0,2.761274328E0
4.260155920E-1,1.288064003E0,-7.119299769E-1,2.059643030E0,2.531419084E0
4.310285150E-1,1.411425948E0,-6.996260285E-1,1.692963004E0,2.312514545E0
4.360411880E-1,1.494222999E0,-6.628040075E-1,1.299564004E0,2.088271563E0
4.410543420E-1,1.537381053E0,-6.143739820E-1,9.337300062E-1,1.900749225E0
4.460670350E-1,1.486667991E0,-5.674600005E-1,6.089680195E-1,1.703829397E0
4.510799680E-1,1.369979024E0,-5.081279874E-1,3.251709938E-1,1.496921091E0
4.560928140E-1,1.214795947E0,-4.498139918E-1,6.866499782E-2,1.297218834E0
4.611055200E-1,1.062284946E0,-3.647769988E-1,-1.742900014E-1,1.136612762E0
4.661184430E-1,8.982480168E-1,-2.664130032E-1,-4.173209965E-1,1.025661836E0
4.711313660E-1,7.220680118E-1,-1.950899959E-1,-6.741039753E-1,1.006905403E0
4.761442120E-1,5.738689899E-1,-1.504320055E-1,-8.493199944E-1,1.036001862E0
4.811569000E-1,4.530229867E-1,-7.742000371E-2,-9.838969707E-1,1.085945179E0
4.861698230E-1,3.313969970E-1,-4.428000003E-2,-1.118610024E0,1.167507205E0
4.911827460E-1,1.126879975E-1,-1.192009971E-1,-1.130794048E0,1.142629705E0
